Item #,Component Name,Description,Qty,Est. Unit Price (USD),Total Price,Source (Example)
1,ESP32 DevKit V1,Dual-core Microcontroller with Wi-Fi/BT,1,$8.00,$8.00,Amazon/Adafruit
2,L298N Motor Driver,Dual H-Bridge DC Motor Driver Module,1,$7.00,$7.00,Amazon/eBay
3,JSN-SR04T,Waterproof Ultrasonic Distance Sensor,1,$12.00,$12.00,Mouser/DigiKey
4,12V DC Pump,Submersible Horizontal Water Pump,1,$10.00,$10.00,Local Supply
5,ACS712 (20A),Hall Effect Current Sensor Module,1,$5.00,$5.00,SparkFun
6,SW-420,Vibration/Motion Sensor Module,1,$3.00,$3.00,Amazon
7,HX710B,Air Pressure/Digital Load Cell Module,1,$4.00,$4.00,AliExpress/Local
8,Breadboard,830-Point Solderless Breadboard,1,$5.00,$5.00,School Lab
9,Jumper Wires,"M-M, M-F, F-F Ribbon Cables",1,$4.00,$4.00,School Lab
10,12V 2A Adapter,Power Supply for Pump/Driver,1,$12.00,$12.00,Local Supply
TOTAL,,,,,$70.00,
